"","date","pm","right_scaled","indy_scaled","snp_scaled"
"68",2025-06-28,"Starmer",0.696019908014474,0.572127667553531,-1.40965599156924
"69",2025-06-27,"Starmer",0.651446835846607,0.572127667553531,-1.40965599156924
"70",2025-06-26,"Starmer",0.661608556819328,0.572127667553531,-1.40965599156924
"71",2025-06-25,"Starmer",0.666729526828694,0.572127667553531,-1.40965599156924
"72",2025-06-23,"Starmer",0.70660867307762,0.572127667553531,-1.40965599156924
"73",2025-06-22,"Starmer",0.703617581742609,0.572127667553531,-1.40965599156924
"74",2025-06-21,"Starmer",0.734696648267978,0.572127667553531,-1.40965599156924
"75",2025-06-20,"Starmer",0.755046461112111,0.254705750615599,-1.40965599156924
"76",2025-06-19,"Starmer",0.749428983123561,0.254705750615599,-1.40965599156924
"77",2025-06-18,"Starmer",0.763576372230232,0.254705750615599,-1.40965599156924
"78",2025-06-17,"Starmer",0.784946905526679,0.254705750615599,-1.40965599156924
"79",2025-06-15,"Starmer",0.806291295169751,0.254705750615599,-1.40965599156924
"80",2025-06-14,"Starmer",0.788031901940592,0.254705750615599,-1.40965599156924
"81",2025-06-13,"Starmer",0.774964940388518,0.254705750615599,-1.40965599156924
"82",2025-06-12,"Starmer",0.811783098032677,0.254705750615599,-1.40965599156924
"83",2025-06-10,"Starmer",0.816147585182288,0.254705750615599,-1.40965599156924
"84",2025-06-09,"Starmer",0.798483866093976,0.254705750615599,-1.40965599156924
"85",2025-06-08,"Starmer",0.798483866093976,0.254705750615599,-1.40965599156924
"86",2025-06-06,"Starmer",0.827303882953948,0.254705750615599,-1.40965599156924
"87",2025-06-05,"Starmer",0.845812495906427,0.254705750615599,-1.37811686939344
"88",2025-06-04,"Starmer",0.851830874332027,0.254705750615599,-1.37811686939344
"89",2025-06-03,"Starmer",0.88333698494782,0.254705750615599,-1.37811686939344
"90",2025-06-02,"Starmer",0.875460457293872,0.254705750615599,-1.37811686939344
"91",2025-06-01,"Starmer",0.882909940857395,0.254705750615599,-1.37811686939344
"92",2025-05-31,"Starmer",0.885745717547988,0.254705750615599,-1.37811686939344
"93",2025-05-30,"Starmer",0.880555283649862,0.0934934922101137,-1.37811686939344
"94",2025-05-29,"Starmer",0.873105800086337,0.0934934922101137,-1.37811686939344
